0.288,0.107,0.916,0.435,2.777,0.008,53.949,65.879,10.332
0.29,0.109,0.914,0.435,2.625,0.168,0,0,0
0.287,0.11,0.917,0.542,2.686,0.58,53.413,66.057,10.16
0.289,0.106,0.912,0.366,2.777,0.473,54.842,67.126,9.126
0.285,0.106,0.923,0.214,3.281,0.343,53.056,67.126,9.471
0.288,0.109,0.917,0.397,2.647,0.114,54.306,67.304,9.987
0.288,0.108,0.916,0.336,2.792,-0.023,54.306,68.016,10.676
0.288,0.106,0.918,0.366,2.747,0.0,0,0,0
0.288,0.107,0.916,0.481,2.754,-0.023,53.949,68.372,9.987
0.288,0.107,0.916,0.359,2.754,-0.031,52.162,66.948,9.987
0.289,0.106,0.917,0.29,2.853,-0.015,55.556,66.77,9.815
0.288,0.108,0.917,0.305,2.762,-0.031,53.413,66.77,9.815
0.287,0.107,0.915,0.298,2.777,-0.008,53.413,66.414,10.848
0.29,0.109,0.915,0.381,2.846,0.015,0,0,0
0.289,0.107,0.914,0.336,2.769,-0.023,54.127,67.482,9.126
0.29,0.108,0.918,0.381,2.731,-0.084,53.949,67.304,10.676
0.287,0.107,0.915,0.496,2.663,0.061,53.591,66.236,8.954
0.289,0.109,0.916,0.443,2.701,0.298,54.306,66.592,9.987
0.289,0.106,0.916,0.42,2.8,0.114,53.591,67.66,8.61
0.29,0.108,0.915,0.298,2.823,0.076,0,0,0
