0.23,0.143,0.927,0.404,2.808,-0.099,38.764,78.877,-0.861
0.23,0.144,0.929,0.565,2.808,-0.076,0,0,0
0.23,0.143,0.925,0.366,2.853,-0.122,38.407,79.233,-2.583
0.231,0.144,0.918,0.542,2.541,0.031,38.586,77.987,-2.066
0.229,0.152,0.933,0.435,2.785,0.0,38.407,78.165,-2.583
0.225,0.144,0.928,0.427,2.373,0.008,38.764,78.165,-1.205
0.228,0.145,0.931,0.389,2.8,-0.114,38.229,78.343,-1.033
0.224,0.147,0.928,0.32,2.8,-0.046,38.586,77.987,-1.378
0.233,0.146,0.928,0.298,2.838,-0.076,0,0,0
0.229,0.142,0.928,0.29,2.678,-0.069,38.943,77.631,-2.066
0.229,0.142,0.93,0.412,2.747,-0.069,39.3,79.055,-1.033
0.231,0.143,0.924,0.305,2.739,-0.084,36.799,79.055,0.0
0.23,0.142,0.931,0.32,2.731,0.046,39.3,78.343,-2.066
0.229,0.143,0.925,0.427,2.762,0.061,37.514,79.055,-2.411
0.228,0.143,0.923,0.435,2.754,0.008,0,0,0
0.227,0.143,0.93,0.458,2.716,-0.137,37.871,79.768,-2.755
0.23,0.143,0.929,0.328,2.838,-0.099,37.871,78.699,-0.689
0.23,0.144,0.932,0.366,2.708,-0.122,38.764,78.521,-1.55
0.229,0.145,0.93,0.366,2.762,-0.046,38.05,79.233,-0.861
0.229,0.145,0.927,0.366,2.876,-0.076,38.407,78.521,-1.55
