0.084,0.144,0.95,0.427,2.831,-0.076,37.335,92.765,41.499
0.085,0.146,0.946,0.404,2.808,-0.076,0,0,0
0.083,0.147,0.946,0.381,2.686,-0.053,34.656,93.3,41.327
0.083,0.146,0.945,0.45,2.747,-0.031,35.906,90.985,40.81
0.083,0.143,0.946,0.359,2.724,-0.023,36.442,95.08,42.016
0.081,0.145,0.948,0.366,2.792,-0.038,35.549,90.273,42.188
0.085,0.146,0.948,0.458,2.785,-0.092,35.37,91.875,41.327
0.083,0.144,0.949,0.359,2.815,0.015,35.728,92.587,42.016
0.082,0.145,0.944,0.267,2.762,-0.084,0,0,0
0.083,0.147,0.945,0.221,2.808,-0.008,35.549,91.341,40.81
0.084,0.144,0.945,0.374,2.708,-0.076,35.906,92.409,40.122
0.082,0.146,0.946,0.366,2.8,-0.008,35.37,91.875,40.638
0.082,0.143,0.947,0.343,2.708,-0.031,35.192,92.765,41.155
0.081,0.146,0.947,0.42,2.724,-0.092,35.549,92.409,40.81
0.081,0.145,0.948,0.381,2.731,-0.053,0,0,0
0.082,0.144,0.946,0.389,2.747,-0.046,34.656,91.875,40.983
0.083,0.145,0.948,0.381,2.632,-0.069,34.656,92.943,39.949
0.085,0.148,0.947,0.61,2.724,1.457,35.728,94.012,40.983
0.084,0.145,0.946,0.481,2.762,0.183,33.941,91.519,39.949
0.083,0.142,0.947,0.427,2.739,0.252,35.906,93.834,40.81
