0.267,0.073,0.924,0.351,2.808,-0.137,9.825,72.111,5.338
0.268,0.073,0.928,0.366,2.8,-0.053,0,0,0
0.265,0.072,0.924,0.397,2.8,0.0,11.254,71.399,6.371
0.265,0.074,0.926,0.366,2.777,-0.114,11.076,71.577,5.855
0.267,0.074,0.925,0.366,2.769,-0.008,11.433,73.002,6.199
0.267,0.072,0.925,0.374,2.777,0.023,11.433,71.933,4.133
0.267,0.073,0.923,0.32,2.701,0.0,11.611,72.111,6.716
0.266,0.072,0.924,0.381,2.785,-0.061,11.79,71.577,6.199
0.269,0.072,0.923,0.381,2.716,-0.114,0,0,0
0.267,0.073,0.923,0.374,2.708,0.031,11.254,71.755,5.682
0.267,0.072,0.924,0.458,2.747,-0.092,12.326,71.399,7.06
0.267,0.072,0.922,0.313,2.777,-0.084,10.897,71.043,5.682
0.266,0.073,0.926,0.305,2.785,-0.13,11.254,71.043,5.682
0.267,0.073,0.925,0.458,2.708,-0.023,10.182,70.331,5.338
0.268,0.073,0.924,0.366,2.67,-0.023,0,0,0
0.268,0.072,0.923,0.42,2.686,-0.145,11.433,71.221,5.855
0.265,0.073,0.923,0.32,2.686,-0.038,12.326,69.619,4.994
0.266,0.072,0.924,0.298,2.8,-0.099,10.182,71.399,6.371
0.265,0.072,0.927,0.42,2.678,-0.031,10.004,71.933,6.543
0.266,0.074,0.925,0.45,2.769,0.008,11.254,71.043,6.371
