-0.56,0.096,-0.898,0.282,2.8,-0.031,62.881,68.728,-50.625
-0.561,0.094,-0.898,0.381,2.831,-0.031,0,0,0
-0.561,0.094,-0.899,0.32,2.754,0.084,61.63,69.619,-49.42
-0.561,0.096,-0.899,0.298,2.792,0.0,61.273,69.262,-48.731
-0.56,0.093,-0.901,0.282,2.754,0.13,61.809,69.797,-48.215
-0.559,0.096,-0.892,0.29,2.785,0.061,62.345,67.838,-49.765
-0.561,0.096,-0.896,0.32,2.846,0.076,62.345,68.194,-47.009
-0.561,0.094,-0.899,0.282,2.861,0.076,0,0,0
-0.559,0.095,-0.898,0.366,2.808,0.114,62.166,70.153,-47.526
-0.56,0.094,-0.901,0.305,2.777,0.031,61.452,69.084,-46.837
-0.56,0.095,-0.897,0.359,2.769,0.122,62.345,68.906,-47.698
-0.563,0.093,-0.896,0.275,2.853,0.053,61.809,68.372,-47.87
-0.563,0.095,-0.894,0.305,2.899,0.061,61.273,68.194,-47.698
-0.56,0.094,-0.899,0.282,2.884,0.137,0,0,0
-0.561,0.098,-0.898,0.275,2.747,0.099,60.916,68.194,-49.076
-0.562,0.095,-0.896,0.359,2.853,0.053,61.987,69.619,-47.698
-0.559,0.094,-0.898,0.29,2.785,0.099,61.63,68.55,-47.354
-0.562,0.097,-0.901,0.351,2.853,-0.015,61.809,69.084,-48.904
-0.562,0.094,-0.894,0.336,2.922,0.099,62.166,69.084,-48.215
-0.559,0.094,-0.9,0.259,2.808,0.069,61.452,70.153,-47.182
